Url;Zestimate;Price;Rent Zestimate;Days On Zillow;Bathrooms;Bedrooms;Living Area;Lot Size;Home Type;Street Address;City;Zip;State;Country;Broker Name;Has 3D Model;Has Image;Has Video;isZillowOwned;sgapt;statusText;statusType,Unnamed: 1
https://www.zillow.com/homedetails/64827-3rd-St-S-Joshua-Tree-CA-92252/17501278_zpid/;320000;320000;1734;Not specified;2;3;1112;;SINGLE_FAMILY;64827 3rd St S;Joshua Tree;92252;CA;USA;BHG Desert Lifestyle Properties;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/61880-Valley-View-Cir-Joshua-Tree-CA-92252/17500268_zpid/;691000;691000;2425;Not specified;2;3;1909;;SINGLE_FAMILY;61880 Valley View Cir;Joshua Tree;92252;CA;USA;Berkshire Hathaway HomeServices;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/60184-Natoma-Trl-Joshua-Tree-CA-92252/17492899_zpid/;474600;475000;2268;Not specified;1;3;1363;;SINGLE_FAMILY;60184 Natoma Trl;Joshua Tree;92252;CA;USA;Homesmart Professionals;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/61415-Alta-Loma-Dr-Joshua-Tree-CA-92252/17493189_zpid/;739397;749000;2999;Not specified;3;3;1957;;SINGLE_FAMILY;61415 Alta Loma Dr;Joshua Tree;92252;CA;USA;Homesmart Professionals;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/62176-Highland-View-Dr-Joshua-Tree-CA-92252/17498320_zpid/;578800;949000;2570;Not specified;3;3;1600;;SINGLE_FAMILY;62176 Highland View Dr;Joshua Tree;92252;CA;USA;Sharon Rose Realty, Inc.;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/61970-Petunia-Dr-Joshua-Tree-CA-92252/82902960_zpid/;450000;450000;1829;Not specified;2;3;1050;;SINGLE_FAMILY;61970 Petunia Dr;Joshua Tree;92252;CA;USA;Homesmart Professionals;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/7736-Elwood-St-Joshua-Tree-CA-92252/69004586_zpid/;517354;525000;2214;Not specified;2;3;1589;;SINGLE_FAMILY;7736 Elwood St;Joshua Tree;92252;CA;USA;Building Joshua Tree Real Estate;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/2651-Foxy-Flats-Rd-Joshua-Tree-CA-92252/17498298_zpid/;1016200;1100000;3211;Not specified;2;3;1968;;SINGLE_FAMILY;2651 Foxy Flats Rd;Joshua Tree;92252;CA;USA;Compass;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/60440-Granada-Dr-Joshua-Tree-CA-92252/17499523_zpid/;315001;315000;1935;Not specified;2;3;1144;;SINGLE_FAMILY;60440 Granada Dr;Joshua Tree;92252;CA;USA;Joshua Tree Realty;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/61464-Melton-Trl-Joshua-Tree-CA-92252/137789108_zpid/;1380952;1450000;1545;Not specified;3;3;1785;;SINGLE_FAMILY;61464 Melton Trl;Joshua Tree;92252;CA;USA;GARY CASMANO, BROKER;FALSO;VERDADERO;FALSO;FALSO;New Construction;New construction;FOR_SALE
https://www.zillow.com/homedetails/2838-Rice-Ave-Joshua-Tree-CA-92252/17501062_zpid/;424700;450000;3087;Not specified;3;3;2076;;SINGLE_FAMILY;2838 Rice Ave;Joshua Tree;92252;CA;USA;Cherie Miller & Assoc.;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/6315-El-Reposo-Cir-Joshua-Tree-CA-92252/17500501_zpid/;350900;355000;2434;Not specified;2;3;1600;;SINGLE_FAMILY;6315 El Reposo Cir;Joshua Tree;92252;CA;USA;REALTY ONE GROUP HOMELINK;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/3382-Center-Ave-Joshua-Tree-CA-92252/2060708859_zpid/;;2100000;;Not specified;3;3;2160;;SINGLE_FAMILY;3382 Center Ave;Joshua Tree;92252;CA;USA;Power Real Estate;FALSO;VERDADERO;FALSO;FALSO;New Construction;New construction;FOR_SALE,
https://www.zillow.com/homedetails/61727-Morningside-Rd-Joshua-Tree-CA-92252/17500544_zpid/;332724;335000;1823;Not specified;2;3;1104;;SINGLE_FAMILY;61727 Morningside Rd;Joshua Tree;92252;CA;USA;BHG Desert Lifestyle Properties;VERDADERO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/7153-Olympic-Rd-Joshua-Tree-CA-92252/17499509_zpid/;573121;579000;1856;Not specified;2;3;1974;;SINGLE_FAMILY;7153 Olympic Rd;Joshua Tree;92252;CA;USA;ALPINE REALTY;FALSO;VERDADERO;FALSO;FALSO;New Construction;New construction;FOR_SALE,
https://www.zillow.com/homedetails/7037-Conejo-Ave-Joshua-Tree-CA-92252/17500112_zpid/;425274;430000;2499;Not specified;2;3;1880;;SINGLE_FAMILY;7037 Conejo Ave;Joshua Tree;92252;CA;USA;Cherie Miller & Assoc.;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/8080-Wesley-Rd-Joshua-Tree-CA-92252/17493032_zpid/;1395200;1495000;6627;Not specified;3;4;2100;;SINGLE_FAMILY;8080 Wesley Rd;Joshua Tree;92252;CA;USA;Joshua Tree Modern;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/885-Sungold-Ave-Joshua-Tree-CA-92252/2060845240_zpid/;;899000;;Not specified;4;3;1701;;SINGLE_FAMILY;885 Sungold Ave;Joshua Tree;92252;CA;USA;Sharon Rose Realty, Inc.;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
